customer_id,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
00012aa8-e99c-4e30-b3f6-1f7e36adc517,35,5,2734.46,4,2,2,422,New / Promising
000feeed-f931-4908-b539-29ab57e595be,94,6,2813.06,2,2,2,222,Low Engagement
00107f62-0530-48ec-a56a-49d90944eafe,74,1,161.99,3,1,1,311,New / Promising
005ae094-2f68-4a6d-91f0-73b38b890692,70,6,3691.46,3,2,2,322,New / Promising
00a6835b-c50a-49a9-a1b5-19d74d3e1863,25,7,3820.98,4,3,2,432,Low Engagement
00a90d43-e62f-4e16-9a17-948d25c9684b,59,7,5636.89,3,3,3,333,High Value / Loyal
00ca767b-0217-46ba-b482-021916fa1be0,33,2,220.59,4,1,1,411,New / Promising
00df5d7c-c28c-436c-aa68-e3ceb775fff2,28,5,6560.97,4,2,3,423,New / Promising
01028498-4406-4014-a30c-2b9a605c2bfc,102,6,5507.84,2,2,3,223,Low Engagement
010cfe3b-6c6a-45a6-870f-139f78abaa75,65,5,6750.62,3,2,3,323,New / Promising
01263640-d73d-419c-a2a6-81a3a2546bdb,42,4,4523.72,4,2,2,422,New / Promising
0126db7e-3b74-4494-b739-ff3f305a0f19,401,2,1387.18,1,1,1,111,Low Engagement
012bb8ba-52a2-40de-9f4c-a1c76b48667d,96,9,5769.13,2,3,3,233,At Risk
01345fb6-51d5-40ab-afbd-62316cd3bad9,40,8,5662.14,4,3,3,433,High Value / Loyal
013cfe6a-5bab-4c7c-99a5-3bca600a1521,163,4,3091.13,2,2,2,222,Low Engagement
015551cf-059f-4167-9d22-91213122bb9d,155,2,224.86,2,1,1,211,Low Engagement
017bca63-ef5b-4d2b-8ee4-d47c98555764,257,5,1445.52,1,2,1,121,Low Engagement
0185f376-187a-4a71-a6ea-f882ba5507b3,14,3,3569.41,4,1,2,412,New / Promising
01985dd4-d11a-42ae-acdc-0226f74aac6d,98,7,2670.97,2,3,2,232,At Risk
019e747b-8ce5-4f78-a504-62dbc7921440,91,2,3783.87,2,1,2,212,Low Engagement
01a1ba08-134f-43d3-8472-078c10405d82,60,2,3769.21,3,1,2,312,New / Promising
01afb533-811f-469d-a542-fc38bc47f497,96,2,2385.75,2,1,2,212,Low Engagement
01c13f1d-9b42-44cf-a1fc-c6c63110a1c2,100,1,417.39,2,1,1,211,Low Engagement
01f30800-c880-44d9-a114-4219284844b3,52,26,24908.11,3,4,4,344,High Value / Loyal
0202033f-0e98-4279-8396-0abd96add36e,76,9,11344.89,3,3,4,334,High Value / Loyal
020938b1-a5bb-4391-822f-d38b45f34e3e,2,16,14048.25,4,4,4,444,High Value / Loyal
02152e28-069f-4aaf-a95d-404c23522666,0,1,260.04,4,1,1,411,New / Promising
021db553-a727-4b9b-9219-97e20d6127f8,99,8,6053.54,2,3,3,233,At Risk
022a0bf6-65cd-46ea-85c2-b13accfa474c,135,5,2168.86,2,2,2,222,Low Engagement
0232a224-be49-4cf9-98fa-749b6f7991fd,815,1,273.31,1,1,1,111,Low Engagement
0251d764-e98d-414d-9061-09c29e779ddb,7,6,3226.87,4,2,2,422,New / Promising
02614372-1f87-4b60-a9af-2a565f171a61,79,2,1490.19,3,1,1,311,New / Promising
0263c298-b1fe-40c3-8c62-7c3dec62f244,201,6,4113.91,1,2,2,122,Low Engagement
026c4528-9b3c-41f9-9b08-6800c96595ca,316,9,6601.57,1,3,3,133,At Risk
027b8508-fb35-4980-b52c-b29eaa46a9f0,133,8,4432.39,2,3,2,232,At Risk
02a24790-6f75-4597-8307-1ed54a00e92a,398,16,9256.88,1,4,4,144,At Risk
02ad4139-8cf3-4616-a3e5-918c78cea234,45,6,4212.62,4,2,2,422,New / Promising
02b0733e-dd23-4e5e-9254-18b30470eaee,444,2,1794.92,1,1,1,111,Low Engagement
02bbae6e-2a89-4881-b51f-b3ebab48577d,28,10,5366.27,4,3,3,433,High Value / Loyal
02c27feb-7608-429e-99d6-c2a500c14557,92,9,7568.69,2,3,3,233,At Risk
02fb85f4-c241-4183-9dbf-0c08a05f408a,16,10,5080.5,4,3,3,433,High Value / Loyal
03080105-fbe7-44eb-8366-a0207a90e47a,174,1,106.12,2,1,1,211,Low Engagement
030cee8d-340d-4d98-83ec-5f78fcb89604,80,7,2674.58,3,3,2,332,Low Engagement
030ea6e0-486e-4bed-8b6c-6b91f8867ebf,255,8,1258.17,1,3,1,131,At Risk
0321a804-2caf-4cb4-93bc-1b41e5e0221f,771,8,3729.27,1,3,2,132,At Risk
033755b6-2521-4acf-b626-ca98cdadeb6d,350,5,4689.49,1,2,3,123,Low Engagement
033ceb1a-9691-46fc-b65e-b792105ddacf,1036,1,636.54,1,1,1,111,Low Engagement
034d95cc-e49d-4cb1-8d4b-6a3bef0a3324,7,4,3675.84,4,2,2,422,New / Promising
035f8dff-eac3-49bc-8fcc-907a81cb5b60,68,2,1728.99,3,1,1,311,New / Promising
0367a250-10d1-4d77-b05f-765b3b3f91cc,89,4,1752.05,2,2,1,221,Low Engagement
036e47b2-e126-4704-bcd6-35430830e5df,60,9,8929.27,3,3,4,334,High Value / Loyal
036f83da-2cb0-4a42-93c0-6006523c3870,186,14,13785.96,1,4,4,144,At Risk
037aa4e4-ab32-4708-b9f1-675e1e3cc01f,58,13,8499.29,3,4,4,344,High Value / Loyal
0396221e-a0b4-45cb-b138-7b2de24e97d9,59,11,9219.08,3,4,4,344,High Value / Loyal
03c713f9-03ff-440e-8a85-464ecd85c988,23,12,10003.22,4,4,4,444,High Value / Loyal
03f2a802-05bb-40c9-9940-792a34f2599f,32,11,6589.73,4,4,3,443,High Value / Loyal
03f8403f-a26b-4905-b4df-37de3c0d3bc9,180,8,9979.24,2,3,4,234,At Risk
04021ddd-fb55-467b-894d-b50dafffd067,98,17,13912.36,2,4,4,244,At Risk
0407aa64-59bf-4af8-81ee-f40ca8149f68,20,11,4723.02,4,4,3,443,High Value / Loyal
04155118-1276-4756-b096-5b47e809e2c6,332,5,3959.26,1,2,2,122,Low Engagement
0424b1e6-87e7-4e0a-bc2a-c3a1c1d71c10,24,2,202.51,4,1,1,411,New / Promising
044631e7-fe03-437b-a452-8e81742b6177,489,1,784.08,1,1,1,111,Low Engagement
04525c3f-c1a0-45f5-a1ee-5117b2f9c46e,319,4,4243.52,1,2,2,122,Low Engagement
0457e8c4-10bc-4d63-a9e8-4068fe3d50b7,19,9,6109.28,4,3,3,433,High Value / Loyal
04669a59-d523-4a76-a6e5-205705b0c68e,227,9,6090.38,1,3,3,133,At Risk
0466bca6-2ad3-4130-9bb0-2a84d733478f,324,5,2416.75,1,2,2,122,Low Engagement
047d3911-a462-446e-84c5-4bccb48aaf0e,76,20,12796.46,3,4,4,344,High Value / Loyal
049f771c-41a6-4267-9fc7-36e1524f8ed8,95,13,21186.2,2,4,4,244,At Risk
04a20174-b976-417e-b28f-778067f7482d,85,4,956.75,3,2,1,321,New / Promising
04bf60ba-f574-4e1a-9d96-f1b5d81b6080,39,6,2073.61,4,2,2,422,New / Promising
04c1dca6-f9b4-43f0-a999-c2b4a8c8bb4e,184,7,5005.86,1,3,3,133,At Risk
04c36a25-02f3-462c-92b0-6bf291c57706,59,5,1883.76,3,2,1,321,New / Promising
04c628db-9ce1-4c9c-bc42-0c6ce7e9fe28,98,9,5568.08,2,3,3,233,At Risk
04dd8822-3d33-42c9-baf9-0fda8cfccb98,52,11,10463.02,3,4,4,344,High Value / Loyal
04e0f452-f7de-4ff5-8945-c68560f641f5,290,5,5545.9,1,2,3,123,Low Engagement
04faf3f3-ab65-4e46-958c-f543f471d220,72,8,3817.38,3,3,2,332,Low Engagement
050bfaae-79a2-4089-8957-a9b28dfcc968,187,13,12677.65,1,4,4,144,At Risk
051e0e86-c98c-44f4-9839-3e5376368ea8,62,5,7580.75,3,2,3,323,New / Promising
051f8bd9-f40f-4002-9608-d5dd4934f5cc,871,2,1753.13,1,1,1,111,Low Engagement
053d7001-6d80-4511-8327-962387bcc036,382,1,2505.66,1,1,2,112,Low Engagement
05519985-b1b4-460a-8048-249c3bd8b3fd,63,12,8397.28,3,4,4,344,High Value / Loyal
055686c9-1ca7-409d-9e03-e2ade76220f6,243,6,5733.2,1,2,3,123,Low Engagement
0556dd6b-d767-4e5f-9a09-59b641f07a13,81,10,3302.91,3,3,2,332,Low Engagement
0562a518-b735-4357-8ed0-321641880a70,64,5,2614.8,3,2,2,322,New / Promising
057ab396-f3f6-47ff-b467-7ea2602ea158,5,1,452.77,4,1,1,411,New / Promising
059f6e58-c513-47d2-8232-590d942759b5,77,2,287.22,3,1,1,311,New / Promising
05b8cf1c-a224-47a8-b285-c9553acbc645,310,3,382.12,1,1,1,111,Low Engagement
05d5d391-9a49-4ede-9daf-076c2d4c3ed9,497,1,1669.04,1,1,1,111,Low Engagement
05ed2817-19b9-4dba-859b-c78c9e8cf204,294,10,3807.21,1,3,2,132,At Risk
05febe7a-16f6-4ef7-a752-c12006c7357e,260,7,6680.8,1,3,3,133,At Risk
061222f9-8ff4-4ee9-bc67-9caafbe11163,42,9,4298.54,4,3,2,432,Low Engagement
0614f4df-997d-4fad-a96b-bb3442fccab0,461,2,2025.73,1,1,1,111,Low Engagement
06195176-6ce8-4c4a-9cad-a3324109a14a,114,9,5272.36,2,3,3,233,At Risk
06215aac-f558-495e-ab9e-fcb2d3020b6d,413,3,3911.46,1,1,2,112,Low Engagement
0622f6e2-b0c2-4131-bfe3-72064af01742,59,3,4605.81,3,1,3,313,New / Promising
062cab8a-c223-4733-a7a5-2dc2a8e6eef9,81,9,7019.57,3,3,3,333,High Value / Loyal
063ff492-fdf0-482b-b9f0-a8ec37a30156,265,1,883.58,1,1,1,111,Low Engagement
06527b3c-28aa-4496-96d1-b4a5326db643,204,8,3993.37,1,3,2,132,At Risk
06598d0c-f0c0-4507-8bfa-0af4161c5d3e,34,6,10894.78,4,2,4,424,New / Promising
067a1737-5289-4e3c-9180-6594ff2f489e,89,13,10195.93,2,4,4,244,At Risk
068f1b33-d98a-421d-8ce0-70c81f82e64d,70,8,4263.85,3,3,2,332,Low Engagement
06907101-112f-4420-b338-caf728040ab7,28,4,6650.18,4,2,3,423,New / Promising
06a6bb39-cb8c-4884-b1d3-c179db2518d4,41,7,5507.93,4,3,3,433,High Value / Loyal
06bab938-937a-4cc5-ba68-1d8de1b2d4f0,274,8,21820.05,1,3,4,134,At Risk
06df79e7-c0ec-444b-8c4e-33459aba8d9b,14,12,9122.71,4,4,4,444,High Value / Loyal
0709fd3c-d251-486e-8864-4b18dcd01e57,31,6,5837.17,4,2,3,423,New / Promising
070f7e69-8c91-4659-97b5-2bdac0894573,1044,3,1622.54,1,1,1,111,Low Engagement
07177591-431f-4655-9dd0-add2bd6c52fc,132,15,12753.03,2,4,4,244,At Risk
07336d51-5219-4671-b27a-8a651effa887,150,6,5351.59,2,2,3,223,Low Engagement
0733eb93-5068-4a55-82f3-17a77dd504e0,242,1,1456.98,1,1,1,111,Low Engagement
073782a8-d38d-46d7-9307-daa1bdf7b6d5,42,5,2106.23,4,2,2,422,New / Promising
073f617d-fa0a-41bf-8c0b-00e06508f38c,21,7,5043.88,4,3,3,433,High Value / Loyal
07cd804b-d2ad-4251-9687-d3c622629569,208,6,3507.32,1,2,2,122,Low Engagement
07dd112c-7ad6-4797-874b-24373899b7e8,25,1,985.93,4,1,1,411,New / Promising
07e327da-9d79-479c-b3f0-d15111058149,144,5,9396.18,2,2,4,224,Low Engagement
0821d7f0-371c-4b45-b77e-61ed208e4a22,34,3,2489.08,4,1,2,412,New / Promising
0847c29f-1ed3-447b-bf7d-a353a29a151f,194,8,3661.64,1,3,2,132,At Risk
084f8198-0099-4a9b-b740-19db2f208f87,27,9,5949.29,4,3,3,433,High Value / Loyal
